trip_id,rider_id,driver_id,vehicle_id,city_id,requested_at,pickup_at,dropoff_at,status,estimated_fare,actual_fare,surge_multiplier,payment_method,is_corporate,created_at,updated_at
T001,R001,D001,V001,C001,2024-01-15 08:00:00,2024-01-15 08:05:00,2024-01-15 08:25:00,completed,12.50,13.00,1.0,card,false,2024-01-15 08:00:00,2024-01-15 08:25:00
T002,R002,D002,V002,C001,2024-01-15 09:00:00,2024-01-15 09:06:00,2024-01-15 09:30:00,completed,18.00,22.50,1.5,wallet,true,2024-01-15 09:00:00,2024-01-15 09:30:00
T003,R003,D003,V003,C002,2024-01-15 10:00:00,2024-01-15 10:08:00,2024-01-15 10:35:00,completed,15.00,15.00,1.0,card,false,2024-01-15 10:00:00,2024-01-15 10:35:00
T004,R004,D004,V004,C002,2024-01-15 11:00:00,,,cancelled,10.00,0.00,1.0,card,false,2024-01-15 11:00:00,2024-01-15 11:05:00
T005,R005,D005,V005,C003,2024-01-15 12:00:00,,,no_show,8.00,0.00,1.0,cash,false,2024-01-15 12:00:00,2024-01-15 12:10:00
T006,R001,D006,V006,C003,2024-01-16 08:00:00,2024-01-16 08:04:00,2024-01-16 08:45:00,completed,35.00,42.00,2.0,card,true,2024-01-16 08:00:00,2024-01-16 08:45:00
T007,R002,D007,V007,C004,2024-01-16 09:00:00,2024-01-16 09:07:00,2024-01-16 09:25:00,completed,14.00,14.00,1.0,wallet,false,2024-01-16 09:00:00,2024-01-16 09:25:00
T008,R003,D008,V008,C005,2024-01-16 10:00:00,2024-01-16 10:05:00,2024-01-16 10:50:00,completed,28.00,28.00,1.0,card,false,2024-01-16 10:00:00,2024-01-16 10:50:00
T009,R006,D001,V001,C001,2024-01-17 08:00:00,2024-01-17 08:03:00,2024-01-17 08:20:00,completed,11.00,11.00,1.0,card,false,2024-01-17 08:00:00,2024-01-17 08:20:00
T010,R007,D002,V002,C001,2024-01-17 17:00:00,2024-01-17 17:05:00,2024-01-17 17:35:00,completed,25.00,55.00,3.5,card,false,2024-01-17 17:00:00,2024-01-17 17:35:00
T011,R008,D004,V004,C002,2024-01-18 08:00:00,2024-01-18 08:06:00,2024-01-18 08:30:00,completed,16.00,16.00,1.0,wallet,true,2024-01-18 08:00:00,2024-01-18 08:30:00
T012,R009,D006,V006,C003,2024-01-18 09:00:00,2024-01-18 09:04:00,2024-01-18 09:55:00,completed,45.00,45.00,1.0,card,true,2024-01-18 09:00:00,2024-01-18 09:55:00
T013,R010,D007,V007,C004,2024-01-19 10:00:00,,,cancelled,12.00,0.00,1.0,card,false,2024-01-19 10:00:00,2024-01-19 10:03:00
T014,R001,D008,V008,C005,2024-01-19 14:00:00,2024-01-19 14:05:00,2024-01-19 14:40:00,completed,30.00,30.00,1.0,cash,false,2024-01-19 14:00:00,2024-01-19 14:40:00
T015,R002,D001,V001,C001,2024-01-20 08:00:00,2024-01-20 08:04:00,2024-01-20 08:22:00,completed,13.00,13.00,1.0,card,false,2024-01-20 08:00:00,2024-01-20 08:22:00
